1,Cars and Bakkies,carbakkies,c9077,1
2,Auto Parts and Accessories,auto-partaccessories,c9026,1
3,Motorcycles and Scooters,motorcyclescooters,c9027,1
4,Motorcycle Parts and Accessories,motorcycle-partaccessories,c9215,1
5,Caravans and Trailers,caravantrailers,c9028,1
6,Classic and Vintage Cars,classic-vintage-cars,c9029,1
7,Medium and Heavy Commercials,medium-heavy-commercials,c9132,1
8,Farm Vehicles and Equipment,farm-vehicleequipment,c9135,1
9,Flat Share and House Share,flat-share-house-share,c9075,2
10,Houses and Flats For Rent,houseflatfor-rent,c9078,2
11,Houses and Flats For Sale,houseflatfor-sale,c9074,2
12,Holiday Homes,holiday-homes,c9070,2
13,Land and Plots For Sale,land-plotfor-sale,c9137,2
14,Car Parks and Storage,car-parkstorage,c9073,2
15,Commercial Properties,commercial-properties,c9072,2
16,Short Term,short+term-properties,c9001,2
17,Other Property,other-properties,c9008,2
18,Accounting and Finance Jobs,accounting-finance-jobs,c9005,3
19,Advertising and Marketing Jobs,advertising-marketing-jobs,c9253,3
20,Arts and Entertainment Jobs,artentertainment-jobs,c9255,3
21,Au Pair and Babysitting Jobs,au-pair-babysitting-jobs,c9056,3
22,Admin Jobs,admin-jobs,c9254,3
23,IT and Tech Jobs,it-tech-jobs,c9050,3
24,Construction and Trade Jobs,construction-trade-jobs,c9052,3
25,Customer Service Jobs,customer-service-jobs,c9236,3
26,Engineering and Architecture Jobs,engineering-architecture-jobs,c9256,3
27,Agriculture and Farm Jobs,agriculture-farm-jobs,c9083,3
28,Gardening and Landscaping Jobs,gardening-landscaping-jobs,c9084,3
29,Beauty Jobs,beauty-jobs,c9543,3
30,Healthcare and Nursing Jobs,healthcare-nursing-jobs,c9054,3
31,Housekeeping and Cleaning Jobs,housekeeping-cleaning-jobs,c9085,3
32,HR Jobs,hr-jobs,c9258,3
33,Internship Jobs,internship-jobs,c9262,3
34,Legal Jobs,legal-jobs,c9055,3
35,Driving and Logistics Jobs,driving-logisticjobs,c9546,3
36,Manufacturing Jobs,manufacturing-jobs,c9263,3
37,Part-time and Weekend Jobs,part+time-weekend-jobs,c9058,3
38,Retail Jobs,retail-jobs,c9059,3
39,Sales Jobs,salejobs,c9060,3
40,Security Jobs,security-jobs,c9234,3
41,Sports and Coaching Jobs,sportcoaching-jobs,c9087,3
42,Tutors and Teaching Jobs,tutorteaching-jobs,c9061,3
43,Tourism Jobs,tourism-jobs,c9238,3
44,General Worker Jobs,general-worker-jobs,c9053,3
45,Clerical and Data Capturing Jobs,clerical-data-capturing-jobs,c9559,3
46,Hospitality Jobs,hospitality-jobs,c9560,3
47,FMCG Jobs,fmcg-jobs,c9561,3
48,Government and NGO Jobs,government-ngo-jobs,c9562,3
49,Accounting and Finance CVs,accounting-finance-cvs,c9390,4
50,Advertising and Marketing CVs,advertising-marketing-cvs,c9391,4
51,Arts and Entertainment CVs,artentertainment-cvs,c9392,4
52,Au Pair and Babysitting CVs,childcare-babysitting-cvs,c9394,4
53,Clerical and Administrative CVs,clerical-administrative-cvs,c9395,4
54,IT and Tech CVs,computing-it-cvs,c9396,4
55,Construction and Trade CVs,construction-skilled-trade-cvs,c9397,4
56,Customer Service CVs,customer-service-cvs,c9398,4
57,Engineering and Architecture CVs,engineering-architecture-cvs,c9399,4
58,Agriculture and Farm Jobs CVs,farming-veterinary-cvs,c9400,4
59,Gardening and Landscaping CVs,gardening-landscaping-cvs,c9401,4
60,General Worker CVs,general-worker-cvs,c9418,4
61,Beauty CVs,health-beauty-cvs,c9544,4
62,Healthcare and Nursing CVs,healthcare-nursing-cvs,c9402,4
63,Housekeeping and Cleaning CVs,housekeeping-cleaning-cvs,c9404,4
64,Human Resources CVs,human-resourcecvs,c9405,4
65,Internship CVs,internship-cvs,c9549,4
66,Legal Work CVs,legal-work-cvs,c9406,4
67,Logistics and Transportation CVs,logistictransportation-cvs,c9547,4
68,Manufacturing CVs,manufacturing-cvs,c9408,4
69,Hospitality and Restaurant CVs,restaurant-bar-cvs,c9411,4
70,Retail CVs,retail-cvs,c9412,4
71,Sales CVs,saletelemarketing-cvs,c9413,4
72,Security CVs,security-cvs,c9414,4
73,Sports and Coaching CVs,sportclub-work-cvs,c9415,4
74,Teaching and Tutoring CVs,teaching-cvs,c9416,4
75,Travel CVs,travel-tourism-cvs,c9417,4
76,Weekend and Part-time Jobs CVs,weekend-part+time-jobcvs,c9550,4
77,FMCG CVs,fmcg-cvs,c9628,4
78,Government and NGO CVs,government-ngo-cvs,c9629,4
79,Appliance Repairs,appliance-repairs,c9136,5
80,Automotive Services,automotive-services,c9131,5
81,Building and Trades,building-trades,c9063,5
82,Chauffeur and Airport Transfer,chauffeur-airport-transfer,c9121,5
83,Child Care,child-care,c9557,5
84,Cleaning Services,cleaning-services,c9109,5
85,Courses and Training,coursetraining,c9113,5
86,DJ and Entertainment Services,dj-entertainment-services,c9269,5
87,DSTV Services,dstv-services,c9270,5
88,Electronics and IT Services,electronicit-services,c9064,5
89,Event Services,event-services,c9265,5
90,Healer Services,healer-services,c9069,5
91,Health and Beauty Services,health-beauty-services,c9065,5
92,Landscaping and Gardening Services,landscaping-gardening-services,c9112,5
93,Legal Services,legal-services,c9388,5
94,Manufacturing,manufacturing,c9542,5
95,Party and Catering,party-catering,c9114,5
96,Pet Services,pet-services,c9139,5
97,Photography and Video Services,photography-video-services,c9115,5
98,Real Estate Services,real-estate-services,c9223,5
99,Recruitment Services,recruitment-services,c9116,5
