1,Automotive Vehicles,automotive-vehicles,c5
2,Property,property,c2
3,Jobs,jobs,c8
4,Job Seekers,job-seekers,c9389
5,Services,services,c9
6,Home and Garden,home-garden,c9175
7,Electronics,electronics,c9178
8,Baby and Kids,baby-kids,c9176
9,Boats and Watercraft,boatwatercraft,c9101
10,Business-to-Business,business+to+business,c9171
11,Fashion,fashion,c9177
12,Pets,pets,c9122
13,Sports and Leisure,sportleisure,c9179
14,Charity Donations,charity-donations,c4
15,Community,community,c6
16,Events,events,c9067
17,Online and Essential Services,online-services,c9658
