1,Port Elizabeth,port-elizabeth,l3100306,1,
2,East London,east-london,l3100300,1,
3,Despatch,despatch,l3100697,1,
4,Jeffreys Bay,jeffreys-bay,l3100301,1,
5,Mdantsane,mdantsane,l3100302,1,
6,Other Eastern Cape,other-eastern-cape,l3100604,1,
7,Uitenhage,uitenhage,l3100472,1,
8,Port Alfred,port-alfred,l3100625,1,
9,Umtata / Mthatha,umtata-mthatha,l3100473,1,
10,Grahamstown,grahamstown,l3100471,1,
11,Queenstown,queenstown,l3100303,1,
12,Graaff-Reinet,graaff+reinet,l3100620,1,
13,Cradock,cradock,l3100470,1,
14,St Francis Bay,st-francis-bay,l3100696,1,
15,Middelburg,middelburg,l3100624,1,
16,Aliwal North,aliwal-north,l3100610,1,
17,King WilliamsTown,king-williamstown,l3100700,1,
18,Adelaide,adelaide,l3100611,1,
19,Butterworth,butterworth,l3100616,1,
20,Kareedouw,kareedouw,l3100622,1,
21,Kirkwood,kirkwood,l3100623,1,
22,Barkly East,barkly-east,l3100613,1,
23,Bhisho,bhisho,l3100299,1,
24,Bizana,bizana,l3100614,1,
25,Burgersdorp,burgersdorp,l3100615,1,
26,Somerset East,somerset-east,l3100626,1,
27,Elliot,elliot,l3100617,1,
28,Fort Beaufort,fort-beaufort,l3100619,1,
29,Flagstaff,flagstaff,l3100618,1,
30,Willowmore,willowmore,l3100628,1,
31,Coffee Bay,coffee-bay,l3100474,1,
32,Alice,alice,l3100612,1,
33,Willowvale,willowvale,l3100476,1,
34,Stutterheim,stutterheim,l3100627,1,
35,Port St Johns,port-st-johns,l3100475,1,
36,Matatiele,matatiele,l3100699,1,
37,Jansenville,jansenville,l3100621,1,
38,Hogsback,hogsback,l3100698,1,
39,Bloemfontein,bloemfontein,l3100460,2,
40,Other Free State,other-free-state,l3100606,2,
41,Parys,parys,l3100465,2,
42,Bethlehem,bethlehem,l3100456,2,
43,Sasolburg,sasolburg,l3100466,2,
44,Deneysville,deneysville,l3100632,2,
45,Welkom,welkom,l3100469,2,
46,Kroonstad,kroonstad,l3100464,2,
47,Memel,memel,l3100704,2,
48,Harrismith,harrismith,l3100457,2,
49,Vrede,vrede,l3100644,2,
50,Vredefort,vredefort,l3100645,2,
51,Ladybrand,ladybrand,l3100639,2,
52,Hoopstad,hoopstad,l3100636,2,
53,Springfontein,springfontein,l3100461,2,
54,Frankfort,frankfort,l3100633,2,
55,Heilbron,heilbron,l3100634,2,
